"VEHICLE_TYPE";"BASETARIFF";"VALID_FROM";"VALID_TO"
13;1020;"2010-01-01";"2011-12-31"
15;1650;"2010-01-01";"2011-12-31"
16;100;"2010-01-01";"2011-12-31"
17;100;"2010-01-01";"2011-12-31"
18;100;"2010-01-01";"2011-12-31"
21;100;"2010-01-01";"2011-12-31"
22;100;"2010-01-01";"2011-12-31"
23;100;"2010-01-01";"2011-12-31"
24;100;"2010-01-01";"2010-12-31"
24;0;"2011-01-01";"2011-12-31"
25;100;"2011-01-01";"2011-12-31"
13;1020;"2012-01-01";"2013-12-31"
15;1650;"2012-01-01";"2013-12-31"
16;100;"2012-01-01";"2013-12-31"
17;100;"2012-01-01";"2013-12-31"
18;100;"2012-01-01";"2013-12-31"
21;100;"2012-01-01";"2013-12-31"
22;100;"2012-01-01";"2013-12-31"
23;100;"2012-01-01";"2013-12-31"
24;0;"2012-01-01";"2013-12-31"
25;100;"2012-01-01";"2013-12-31"
