"CCM_MIN";"CCM_MAX";"POWER_MIN";"POWER_MAX";"BASETARIFF";"VALID_FROM";"VALID_TO"
0;850;-1;-1;230;"2010-01-01";"2010-12-31"
851;1150;-1;-1;280;"2010-01-01";"2010-12-31"
1151;1500;-1;-1;330;"2010-01-01";"2010-12-31"
1501;2000;-1;-1;440;"2010-01-01";"2010-12-31"
2001;3000;-1;-1;540;"2010-01-01";"2010-12-31"
3001;999999;-1;-1;570;"2010-01-01";"2010-12-31"
-1;-1;0;37;270;"2011-01-01";"2011-12-31"
-1;-1;38;50;320;"2011-01-01";"2011-12-31"
-1;-1;51;70;350;"2011-01-01";"2011-12-31"
-1;-1;71;100;430;"2011-01-01";"2011-12-31"
-1;-1;101;180;500;"2011-01-01";"2011-12-31"
-1;-1;181;999999;560;"2011-01-01";"2011-12-31"
