"CCM_MIN";"CCM_MAX";"POWER_MIN";"POWER_MAX";"BASETARIFF";"VALID_FROM";"VALID_TO"
0;150;-1;-1;100;"2010-01-01";"2010-12-31"
151;350;-1;-1;100;"2010-01-01";"2010-12-31"
351;999999;-1;-1;100;"2010-01-01";"2010-12-31"
-1;-1;1;12;100;"2011-01-01";"2011-12-31"
-1;-1;13;35;100;"2011-01-01";"2011-12-31"
-1;-1;36;70;110;"2011-01-01";"2011-12-31"
-1;-1;71;999999;110;"2011-01-01";"2011-12-31"
-1;-1;1;12;1;"2012-01-01";"2012-12-31"
-1;-1;13;35;1;"2012-01-01";"2012-12-31"
-1;-1;36;70;1;"2012-01-01";"2012-12-31"
-1;-1;71;999999;1;"2012-01-01";"2012-12-31"
